Feature,Coefficient,Abs_Coefficient
cat__Primary_production_country_Denmark,-0.7049422589081576,0.7049422589081576
cat__Primary_production_company_Bandai Visual Company,-0.7047989437169346,0.7047989437169346
cat__Primary_production_company_National Geographic Entertainment,0.6977602711034271,0.6977602711034271
cat__Primary_production_company_Film4,-0.6932055339801801,0.6932055339801801
cat__Primary_production_company_Reel FX Creative Studios,0.6931837012860521,0.6931837012860521
cat__Primary_production_company_AVCO Embassy Pictures,0.6922727331104579,0.6922727331104579
cat__Primary_production_company_Art Linson Productions,0.6922454939254772,0.6922454939254772
cat__Primary_production_company_Everyman Pictures,0.6905718590879749,0.6905718590879749
cat__Primary_production_company_Dimension Films,0.6889962462178909,0.6889962462178909
cat__Primary_production_company_Ghost House Pictures,0.6866971963171143,0.6866971963171143
cat__Primary_production_company_Benaroya Pictures,0.6842033668714951,0.6842033668714951
cat__Primary_production_company_Walt Disney,0.68175721044106,0.68175721044106
cat__Primary_production_company_WDR,0.679790642911813,0.679790642911813
cat__Primary_production_company_Block 2 Pictures,0.6773979392858804,0.6773979392858804
cat__Primary_production_company_Universal Studios,0.6764041550840427,0.6764041550840427
cat__Primary_production_company_Wild Bear Films,0.6756181098212334,0.6756181098212334
cat__Primary_production_company_TriStar Pictures,0.6735653917255865,0.6735653917255865
cat__Primary_production_company_Recorded Pictures Company,0.6696993698047994,0.6696993698047994
cat__Primary_production_company_RabbitBandini Productions,0.6695056045524193,0.6695056045524193
cat__Primary_production_company_Merchant Ivory Productions,0.669109644028036,0.669109644028036
cat__Primary_production_company_Paco Cinematografica,0.6679577050729812,0.6679577050729812
cat__Primary_production_company_Columbia Pictures Corporation,0.66449132019196,0.66449132019196
cat__Primary_production_company_O2 Filmes,0.6604032068411724,0.6604032068411724
cat__Primary_production_company_Triggerfish Animation,0.6585293833662371,0.6585293833662371
cat__Primary_production_company_George Stevens Productions,-0.6585041348853748,0.6585041348853748
cat__Primary_production_company_26 Films,0.6576580238974071,0.6576580238974071
cat__Primary_production_company_Rai Cinema,-0.6572338185534367,0.6572338185534367
cat__Primary_production_company_Les Productions du Trésor,0.6570639592426304,0.6570639592426304
cat__Primary_production_company_Robert Simonds Productions,0.6518425670175442,0.6518425670175442
cat__Primary_production_company_Cambridge Productions,0.6515318468247758,0.6515318468247758
cat__Primary_production_company_Melvin Simon Productions,0.650996975992268,0.650996975992268
cat__Primary_production_company_Kathbur Pictures,0.6503465399160545,0.6503465399160545
cat__Primary_production_company_Clear Blue Sky Productions,0.6447528925730257,0.6447528925730257
cat__Primary_production_company_Kinokompaniya CTB,0.6429895519275086,0.6429895519275086
cat__Primary_production_company_Bel Air Entertainment,-0.6416388020412129,0.6416388020412129
cat__Primary_production_company_Greenestreet Films,0.6414033524405223,0.6414033524405223
cat__Primary_production_company_Variance Films,-0.6412460600607043,0.6412460600607043
cat__Primary_production_company_Incorporated Television Company,0.6340860935406597,0.6340860935406597
cat__Primary_production_company_Strike Entertainment,0.6306903518612839,0.6306903518612839
cat__Primary_production_company_Carmel Entertainment,0.6305633600286341,0.6305633600286341
cat__Primary_production_company_Fathom Studios,-0.6297036346403894,0.6297036346403894
cat__Primary_production_company_Night and Day Pictures,0.628759180423965,0.628759180423965
cat__Primary_production_company_Universal Pictures Corporation,0.6281096471309364,0.6281096471309364
cat__Primary_production_company_Studio Ghibli,0.6275145040537081,0.6275145040537081
cat__Primary_production_company_Wildgaze Films,0.6252557267767356,0.6252557267767356
cat__Primary_production_company_Milagro Films,-0.6247147518291783,0.6247147518291783
cat__Primary_production_company_Worldview Entertainment,-0.6209092025279067,0.6209092025279067
cat__Primary_production_company_Mandalay Vision,0.6181685072971785,0.6181685072971785
cat__Primary_production_company_100 Bares,0.6168655621465199,0.6168655621465199
cat__Primary_production_company_T-Series,0.6161016662289972,0.6161016662289972
cat__Primary_production_company_Crossbow Productions,0.6140929371384225,0.6140929371384225
cat__Primary_production_country_Italy,-0.6128867085214963,0.6128867085214963
cat__Primary_production_company_Dune Entertainment,0.6128467413802507,0.6128467413802507
cat__Primary_production_company_Canal Plus,0.6122479887653455,0.6122479887653455
cat__Primary_production_company_Columbia Pictures,0.6099126989527509,0.6099126989527509
cat__Primary_production_company_Malpaso Productions,0.6089200027562448,0.6089200027562448
cat__Primary_production_company_Prana Animation Studios,-0.6070112308925208,0.6070112308925208
cat__Primary_production_company_Medusa Produzione,0.6047014470617029,0.6047014470617029
"cat__Primary_production_company_Screen Gems, Inc.",0.6041518938977968,0.6041518938977968
cat__Primary_production_company_Geffen Pictures,-0.6001235090997696,0.6001235090997696
cat__Primary_production_company_Columbia Pictures Industries,0.5985886124886027,0.5985886124886027
cat__Primary_production_company_Regency Enterprises,0.5958411577509666,0.5958411577509666
cat__Primary_production_company_Extension 765,0.5951745513994057,0.5951745513994057
cat__Primary_production_company_Sneak Preview Productions,0.593321237318336,0.593321237318336
cat__Primary_production_company_Bésame Mucho Pictures,0.5927855008796108,0.5927855008796108
cat__Primary_production_company_Alcon Entertainment,0.587619395651951,0.587619395651951
cat__Primary_production_company_New Line Productions,0.580731884438266,0.580731884438266
cat__Primary_production_company_Mosaic Media Group,0.5803875725430985,0.5803875725430985
cat__Primary_production_company_TV Tokyo,0.5785978603912952,0.5785978603912952
cat__Primary_genre_Fantasy,0.57532801013962,0.57532801013962
cat__Primary_production_company_Mad Chance,0.5752922250870155,0.5752922250870155
cat__Primary_production_company_CBS Films,0.574784684089759,0.574784684089759
cat__Primary_production_company_The Mirisch Corporation,0.5724425486922436,0.5724425486922436
cat__Primary_production_company_Woodfall Film Productions,0.5707996248005451,0.5707996248005451
cat__Primary_production_company_Lions Gate Family Entertainment,0.5694808668894114,0.5694808668894114
cat__Primary_production_company_Centre National de la Cinématographie,0.5693297831088822,0.5693297831088822
cat__Primary_genre_Western,-0.5679400920743873,0.5679400920743873
cat__Primary_production_company_Dharma Productions,0.5647536866054883,0.5647536866054883
cat__Primary_production_company_The Selznik Studio,0.5631507579664646,0.5631507579664646
cat__Primary_production_company_Marc Platt Productions,0.561180955756325,0.561180955756325
cat__Primary_production_company_Media Asia Films,-0.5592086117231037,0.5592086117231037
cat__Primary_production_company_Nickelodeon Movies,0.5573921702595486,0.5573921702595486
cat__Primary_production_company_Evil Twins,-0.5571746425486385,0.5571746425486385
cat__Primary_production_company_Paradis Films,0.5564215629651564,0.5564215629651564
cat__Primary_production_company_DNA Films,0.5558337444306851,0.5558337444306851
cat__Primary_production_company_Interscope Communications,-0.5548986181098234,0.5548986181098234
cat__Primary_production_company_Les Films du Losange,0.5547529159330316,0.5547529159330316
cat__Primary_production_company_Gaylord Films,0.5543583214032589,0.5543583214032589
cat__Primary_production_company_Open Road Films,-0.5535097609777866,0.5535097609777866
cat__Primary_production_company_Boram Entertainment Inc.,-0.553021346628634,0.553021346628634
cat__Primary_production_company_Incentive Filmed Entertainment,-0.5522784382791079,0.5522784382791079
cat__Primary_production_company_Happy Madison Productions,-0.5493388945786217,0.5493388945786217
cat__Primary_production_company_Rising Star,-0.5468733222716755,0.5468733222716755
cat__Primary_production_country_Jamaica,0.5463292341560683,0.5463292341560683
cat__Primary_production_company_Mike Zoss Productions,0.5443991177058357,0.5443991177058357
cat__Primary_production_country_United Kingdom,0.5437922552914656,0.5437922552914656
cat__Primary_production_company_Brooksfilms,0.5435664158031661,0.5435664158031661
cat__Primary_production_company_ContentFilm,-0.5429792782231551,0.5429792782231551
cat__Primary_production_company_Playtone,-0.5384351378468658,0.5384351378468658
cat__Primary_production_company_Radiant Film GmbH,0.5384059506459545,0.5384059506459545
cat__Primary_production_company_Walt Disney Television Animation,0.5377580581502331,0.5377580581502331
cat__Primary_production_company_Scottish Screen,-0.5362688355882984,0.5362688355882984
cat__Primary_production_country_Japan,0.5348962117386253,0.5348962117386253
cat__Primary_production_company_Treehouse Pictures,0.534647326025435,0.534647326025435
cat__Primary_production_company_Entertainment Films,0.5338774897104415,0.5338774897104415
cat__Primary_production_company_Living Films,-0.5337250589833655,0.5337250589833655
cat__Primary_production_company_Archer Street Productions,0.5311218299500261,0.5311218299500261
cat__Primary_production_company_Celluloid Dreams,-0.5305193490539648,0.5305193490539648
cat__Primary_production_company_The Zanuck Company,0.5244905732995461,0.5244905732995461
cat__Primary_production_company_Ixtlan Productions,0.5241069034059352,0.5241069034059352
cat__Primary_production_company_Screen Gems,0.5212106686341514,0.5212106686341514
cat__Primary_production_company_Ghoulardi Film Company,-0.5208933703583829,0.5208933703583829
cat__Primary_production_company_China Film Group Corporation,-0.5208668893157203,0.5208668893157203
cat__Primary_production_country_Australia,0.5203603365814666,0.5203603365814666
cat__Primary_production_company_France 2 Cinéma,-0.5200332821742667,0.5200332821742667
cat__Primary_production_company_Rainmaker Entertainment,0.5193802938014872,0.5193802938014872
cat__Primary_production_company_Glass Eye Pix,-0.5174899044613056,0.5174899044613056
cat__Primary_production_company_Hemdale Film,-0.5159335533014365,0.5159335533014365
cat__Primary_production_company_Trans-Film,0.5145564457146713,0.5145564457146713
cat__Primary_production_company_Punch 21 Productions,0.5112324420183444,0.5112324420183444
cat__Primary_production_company_Ikiru Films,0.5104049275059862,0.5104049275059862
cat__Primary_production_company_Apatow Productions,0.5103960902103021,0.5103960902103021
cat__Primary_production_company_Bedford Falls Productions,0.5088761998061343,0.5088761998061343
cat__Primary_production_company_USA Films,0.5088299415152665,0.5088299415152665
cat__Primary_production_company_FilmNation Entertainment,0.507862333531717,0.507862333531717
cat__Primary_production_company_Lava Bear Films,0.5070432581864878,0.5070432581864878
cat__Primary_production_company_Laurel Group,0.5069073425041528,0.5069073425041528
cat__Primary_production_company_Cine Bazar,0.5017281405840558,0.5017281405840558
cat__Primary_production_company_A Bigger Boat,0.4978036296758732,0.4978036296758732
cat__Primary_production_company_Woods Entertainment,0.4965786343726478,0.4965786343726478
cat__Primary_production_company_TF1 Films Productions,0.49650888176191393,0.49650888176191393
cat__Primary_production_company_Open Road Films (II),0.49620823119835633,0.49620823119835633
cat__Primary_production_company_All Girl Productions,-0.4956716381626838,0.4956716381626838
cat__Primary_production_company_Grand Army Entertainment,0.49470431171077917,0.49470431171077917
cat__Primary_production_company_Escape Artists,0.4910808320311957,0.4910808320311957
cat__Primary_production_company_Walt Disney Studios Motion Pictures,0.4877756086243397,0.4877756086243397
cat__Primary_production_company_Australian Film Finance Corporation,-0.4873549763608128,0.4873549763608128
cat__Primary_production_company_Paramount Classics,-0.4850605001835047,0.4850605001835047
cat__Primary_production_company_Channel Four Films,0.4849796434671655,0.4849796434671655
cat__Primary_production_company_Silver Screen Partners,0.48404501397903554,0.48404501397903554
cat__Primary_production_company_Shadowlands Productions,-0.483976564456271,0.483976564456271
cat__Primary_production_company_Spring Creek Productions,0.4837559824292057,0.4837559824292057
cat__Primary_production_company_Newmarket Capital Group,-0.4821706708539115,0.4821706708539115
cat__Primary_production_company_Film 4,0.48186635612981016,0.48186635612981016
cat__Primary_production_company_Producers Sales Organization,0.4805610178041546,0.4805610178041546
cat__Primary_production_company_Film Science,-0.48027043962953775,0.48027043962953775
cat__Primary_production_company_New South Wales Film & Television Office,0.4785338362116632,0.4785338362116632
cat__Primary_production_company_Battleplan Productions,-0.4743114327867455,0.4743114327867455
cat__Primary_production_company_This Is That Productions,0.4739395287668469,0.4739395287668469
cat__Primary_production_company_Perdido Productions,0.47367950132286957,0.47367950132286957
cat__Primary_production_company_Current Entertainment,-0.47308036314416757,0.47308036314416757
cat__Primary_production_company_Tollin/Robbins Productions,0.4726428071688493,0.4726428071688493
cat__Primary_production_company_Dos Corazones,-0.4719565667585281,0.4719565667585281
cat__Primary_production_company_Konrad Pictures,0.47094456475343976,0.47094456475343976
cat__Primary_production_company_Parts and Labor,0.47016642239811574,0.47016642239811574
cat__Primary_production_company_Dead Films,0.46641125122603927,0.46641125122603927
cat__Primary_production_company_Spyglass Entertainment,0.4661775500206847,0.4661775500206847
cat__Primary_production_company_EM Media,-0.4640745396984802,0.4640745396984802
cat__Primary_production_company_BIM Distribuzione,0.4639520393221798,0.4639520393221798
cat__Primary_production_company_Revolution Studios,-0.4639222558387228,0.4639222558387228
cat__Primary_production_company_Carnaby International,0.4637865367930516,0.4637865367930516
cat__Primary_production_company_Mandarin Films Distribution Co.,0.4616934332504105,0.4616934332504105
cat__Primary_production_company_Starz Media,0.4589942103216737,0.4589942103216737
cat__Primary_production_company_Silver Screen Partners III,0.45524618801572764,0.45524618801572764
cat__Primary_production_country_Finland,0.4536350261214232,0.4536350261214232
cat__Primary_production_company_Warner Bros.,0.44986501690674735,0.44986501690674735
cat__Primary_production_company_Renaissance Films,-0.44872344429629923,0.44872344429629923
cat__Primary_production_company_Davis-Panzer Productions,-0.44860988380710914,0.44860988380710914
cat__Primary_production_company_Silver Screen Partners II,-0.44811197667400166,0.44811197667400166
cat__Primary_production_company_DreamWorks,-0.4465769981129807,0.4465769981129807
cat__Primary_production_company_Tig Productions,-0.44559955712488697,0.44559955712488697
cat__Primary_production_company_Hearst Entertainment Productions,0.44381356833115315,0.44381356833115315
cat__Primary_production_company_Gerber Pictures,-0.4436436863799208,0.4436436863799208
cat__Primary_production_company_Winkler Films,0.4430644086885037,0.4430644086885037
cat__Primary_production_company_Aardman Animations,0.4424561411100534,0.4424561411100534
cat__Primary_production_company_Act III Communications,0.4420322746653235,0.4420322746653235
cat__Primary_production_company_Avenue Pictures Productions,0.4413357518478195,0.4413357518478195
cat__Primary_production_company_Tree Line Films,0.4410153900372667,0.4410153900372667
cat__Primary_production_company_Blueprint Pictures,0.440214428708139,0.440214428708139
cat__Primary_production_company_Lakeshore Entertainment,0.4398104907401958,0.4398104907401958
cat__Primary_production_company_Toho Company,-0.43956721972993534,0.43956721972993534
cat__Primary_production_company_Broken Lizard Industries,0.43900056779296504,0.43900056779296504
cat__Primary_production_company_Brownstone Productions,0.4381818279758951,0.4381818279758951
cat__Primary_production_company_DC Comics,0.437870243154443,0.437870243154443
cat__Primary_production_company_Embassy International Pictures,-0.4355190843468349,0.4355190843468349
cat__Primary_production_company_Cinergi Pictures Entertainment,-0.43502512802330684,0.43502512802330684
cat__Primary_production_company_Art Pictures Studio,-0.4347959863990029,0.4347959863990029
cat__Primary_production_company_Goldcrest Films International,0.4338628473029402,0.4338628473029402
cat__Primary_production_company_CJ Entertainment,0.4318075449426764,0.4318075449426764
cat__Primary_production_company_Degeto Film,0.43094156483342544,0.43094156483342544
cat__Primary_production_company_Cloud Eight Films,0.42956671853303313,0.42956671853303313
cat__Primary_production_company_Toei Animation Company,-0.42701489583330454,0.42701489583330454
cat__Primary_production_company_Amen Ra Films,0.42675581363154663,0.42675581363154663
cat__Primary_production_company_Team Todd,0.42659539559850546,0.42659539559850546
cat__Primary_production_company_Wonderland Sound and Vision,0.42556795037399114,0.42556795037399114
cat__Primary_production_company_Brooksfilms Ltd.,0.42466630531502925,0.42466630531502925
cat__Primary_production_company_Paramount Vantage,0.4233231069993812,0.4233231069993812
cat__Primary_production_company_Matador Pictures,-0.4223630970867739,0.4223630970867739
cat__Primary_production_company_Ultra Films,-0.41957205229215916,0.41957205229215916
cat__Primary_production_company_Warner Bros. Pictures,-0.4187575855340282,0.4187575855340282
cat__Primary_production_company_Pathé Films,0.41764622931493367,0.41764622931493367
cat__Primary_production_company_Hopscotch Features,-0.41684080341186763,0.41684080341186763
cat__Primary_production_company_Imagine Entertainment,0.4156695251022334,0.4156695251022334
cat__Primary_production_company_Corsan,-0.41480842482750874,0.41480842482750874
cat__Primary_production_company_Lawrence Bender Productions,-0.41459210664733115,0.41459210664733115
cat__Primary_production_company_Focus Films,0.414561064565646,0.414561064565646
cat__Primary_production_company_Pixar Animation Studios,0.41280463504619674,0.41280463504619674
cat__Primary_production_company_Qwerty Films,-0.4123302837169353,0.4123302837169353
cat__Primary_production_company_Allied Artists Pictures,-0.410643007794387,0.410643007794387
cat__Primary_production_company_Beverly Detroit,0.4080137809988247,0.4080137809988247
cat__Primary_production_country_Luxembourg,-0.40659338839718506,0.40659338839718506
cat__Primary_production_company_Signature Pictures,-0.4055427213305998,0.4055427213305998
num__Lead_actor_recurrence_rate,0.4054782371899821,0.4054782371899821
"cat__Primary_production_company_Geffen Company, The",0.40505495981155876,0.40505495981155876
cat__Primary_production_company_Gener8Xion Entertainment,-0.4050067985891515,0.4050067985891515
cat__Primary_production_country_Thailand,0.4034853026093806,0.4034853026093806
cat__Primary_production_company_Warner Brothers/Seven Arts,-0.4027848221414976,0.4027848221414976
cat__Primary_production_company_De Laurentiis Entertainment Group,0.4018712872979337,0.4018712872979337
cat__Primary_production_country_United States of America,0.4002994163343178,0.4002994163343178
cat__Primary_production_company_Bleiberg Entertainment,-0.3987742310193,0.3987742310193
cat__Primary_production_company_HandMade Films,-0.3968988531376985,0.3968988531376985
cat__Primary_production_company_Emmett/Furla Films,-0.3966518370348214,0.3966518370348214
cat__Primary_production_company_Katalyst Films,0.39446409448302105,0.39446409448302105
cat__Primary_production_company_Wendy Finerman Productions,0.39398683325120737,0.39398683325120737
cat__Primary_production_company_Mandalay Pictures,0.39197002377725026,0.39197002377725026
cat__Primary_production_company_Fox International Productions,-0.3913347523738007,0.3913347523738007
